iter	RMSE
0	7.936359759
1	7.933246607
2	7.930226701
3	7.927829546
4	7.925704259
5	7.923827201
6	7.921885327
7	7.920045492
8	7.918699353
9	7.916999463
10	7.915535061
11	7.914137796
12	7.912903471
13	7.911437884
14	7.910187388
15	7.908807833
16	7.907579586
17	7.906384015
18	7.905244173
19	7.90432708
20	7.903246847
21	7.902210952
22	7.901167263
23	7.900075975
24	7.899088167
25	7.898076843
26	7.897084784
27	7.89619272
28	7.89516904
29	7.894269486
30	7.89350988
31	7.892598351
32	7.891664994
33	7.890816498
34	7.88999093
35	7.889109063
36	7.888204732
37	7.88730613
38	7.886630656
39	7.885831901
40	7.885146153
41	7.884252459
42	7.883385598
43	7.882582648
44	7.881790836
45	7.881031573
46	7.880457881
47	7.87974953
48	7.87899162
49	7.878256615
50	7.877669407
51	7.876986576
52	7.876211429
53	7.875557026
54	7.874801507
55	7.87414442
56	7.873411423
57	7.872767115
58	7.872099787
59	7.87159385
60	7.870885963
61	7.870225298
62	7.869597671
63	7.86900318
64	7.868565815
65	7.867979512
66	7.867271174
67	7.866674069
68	7.866083711
69	7.865479931
70	7.864905166
71	7.864263325
72	7.863645374
73	7.863072659
74	7.862578947
75	7.861920946
76	7.86142529
77	7.860887952
78	7.860307259
79	7.859728002
80	7.859104234
81	7.858513141
82	7.857968001
83	7.857509715
84	7.857082047
85	7.856503381
86	7.855965325
87	7.855442894
88	7.854923424
89	7.854402393
90	7.853774664
91	7.85324753
92	7.852716957
93	7.852185304
94	7.85163201
95	7.851105861
96	7.8504577
97	7.849934601
98	7.84944935
99	7.848931588
100	7.848501457
101	7.847888172
102	7.847283817
103	7.846768879
104	7.84628106
105	7.845756736
106	7.845241462
107	7.844837304
108	7.844407069
109	7.843889569
110	7.843435361
111	7.842938471
112	7.842366127
113	7.841868829
114	7.841367381
115	7.840858523
116	7.840258428
117	7.839757201
118	7.839217095
119	7.838617148
120	7.83806955
121	7.837509472
122	7.837055117
123	7.836587988
124	7.836110856
125	7.835544452
126	7.834997618
127	7.834344586
128	7.833834988
129	7.833322876
130	7.832690283
131	7.832106653
132	7.831602938
133	7.83095546
134	7.830442963
135	7.829803107
136	7.829280436
137	7.828645778
138	7.828082175
139	7.827602879
140	7.826947142
141	7.826248853
142	7.825641895
143	7.825013249
144	7.824356728
145	7.823852952
146	7.823371693
147	7.822689882
148	7.82215111
149	7.821511003
150	7.821055299
151	7.820497677
152	7.819998617
153	7.81955889
154	7.819004421
155	7.818380882
156	7.817738616
157	7.817131293
158	7.8165576
159	7.815900564
160	7.815340006
161	7.814756063
162	7.81418439
163	7.813526833
164	7.812846912
165	7.812108401
166	7.811540918
167	7.810931498
168	7.810196866
169	7.809560411
170	7.808961302
171	7.808253398
172	7.807685646
173	7.807161758
174	7.806647401
175	7.805956539
176	7.805508638
177	7.805011312
178	7.804598373
179	7.804035683
180	7.803408048
181	7.802952603
182	7.802290324
183	7.801769649
184	7.801075453
185	7.800600662
186	7.799938592
187	7.79942588
188	7.798922187
189	7.798277713
190	7.797755604
191	7.79720003
192	7.79662634
193	7.795982485
194	7.795406733
195	7.794886573
196	7.794304813
197	7.793606934
198	7.793009028
199	7.792349196
200	7.791711844
201	7.791068867
202	7.79053289
203	7.789989963
204	7.789375758
205	7.788916395
206	7.788312622
207	7.787791504
208	7.787178786
209	7.786544255
210	7.786122933
211	7.785654393
212	7.785058697
213	7.784549086
214	7.78397218
215	7.783472435
216	7.782984968
217	7.782330453
218	7.781843461
219	7.781339039
220	7.78076448
221	7.780323682
222	7.779770245
223	7.779332128
224	7.778785099
225	7.778308778
226	7.777788677
227	7.777284837
228	7.776850262
229	7.776355437
230	7.775736041
231	7.775164861
232	7.774709221
233	7.774114601
234	7.773679606
235	7.773197618
236	7.772648243
237	7.772071036
238	7.771453072
239	7.770995334
240	7.770450196
241	7.769932667
242	7.769389023
243	7.768902026
244	7.768496757
245	7.767950256
246	7.767429434
247	7.766850304
248	7.766394062
249	7.765927467
250	7.765406749
251	7.764942402
252	7.764452366
253	7.763960702
254	7.763293712
255	7.76270591
256	7.762134799
257	7.761584379
258	7.760964339
259	7.760420175
260	7.759947299
261	7.759510646
262	7.759048234
263	7.75856862
264	7.758091945
265	7.757782988
266	7.757256903
267	7.756722763
268	7.756195177
269	7.755624706
270	7.75514299
271	7.754506828
272	7.754033511
273	7.753532912
274	7.753017178
275	7.75246394
276	7.752063027
277	7.751656175
278	7.751229443
279	7.750780384
280	7.750277376
281	7.749939741
282	7.749518246
283	7.749030927
284	7.748599263
285	7.748113243
286	7.747581042
287	7.747129068
288	7.74669866
289	7.746136017
290	7.745647426
291	7.745102474
292	7.744571052
293	7.743941646
294	7.743444874
295	7.74295169
296	7.742564272
297	7.742019558
298	7.741501915
299	7.741060737
300	7.740558687
301	7.739974313
302	7.739544751
303	7.738974075
304	7.738472401
305	7.738033126
306	7.737633678
307	7.737157461
308	7.73671618
309	7.736216226
310	7.735663836
311	7.735046105
312	7.734508891
313	7.73409443
314	7.733549076
