iter	Passed	Remaining
0	39	39518
1	71	35455
2	100	33305
3	129	32347
4	156	31127
5	185	30772
6	212	30093
7	234	29024
8	256	28267
9	281	27893
10	307	27608
11	333	27471
12	357	27120
13	380	26825
14	402	26424
15	426	26221
16	449	25976
17	473	25843
18	498	25744
19	525	25751
20	550	25666
21	585	26011
22	615	26163
23	646	26289
24	679	26486
25	707	26518
26	736	26524
27	759	26358
28	784	26280
29	817	26444
30	846	26471
31	870	26339
32	892	26144
33	916	26029
34	942	25972
35	970	25984
36	994	25889
37	1021	25864
38	1046	25783
39	1070	25701
40	1094	25589
41	1123	25626
42	1149	25574
43	1172	25480
44	1199	25463
45	1228	25486
46	1250	25358
47	1275	25300
48	1304	25311
49	1332	25320
50	1356	25235
51	1384	25244
52	1411	25220
53	1437	25175
54	1462	25136
55	1493	25172
56	1522	25195
57	1551	25192
58	1583	25257
59	1619	25368
60	1648	25376
61	1683	25465
62	1713	25488
63	1743	25492
64	1769	25452
65	1798	25448
66	1830	25486
67	1859	25483
68	1886	25459
69	1916	25465
70	1948	25494
71	1975	25457
72	2005	25467
73	2032	25437
74	2058	25391
75	2085	25360
76	2115	25353
77	2141	25309
78	2167	25263
79	2193	25219
80	2218	25175
81	2243	25121
82	2277	25167
83	2305	25144
84	2332	25110
85	2358	25063
86	2385	25030
87	2408	24960
88	2433	24908
89	2458	24854
90	2486	24833
91	2508	24756
92	2532	24703
93	2559	24669
94	2583	24606
95	2608	24567
96	2636	24541
97	2658	24469
98	2683	24418
99	2709	24384
100	2731	24312
101	2755	24261
102	2778	24196
103	2801	24137
104	2823	24070
105	2849	24031
106	2874	23987
107	2898	23935
108	2922	23886
109	2949	23861
110	2975	23827
111	2998	23776
112	3024	23742
113	3050	23706
114	3072	23646
115	3095	23588
116	3120	23547
117	3149	23537
118	3172	23486
119	3196	23442
120	3224	23427
121	3248	23376
122	3269	23313
123	3294	23274
124	3317	23219
125	3341	23178
126	3365	23137
127	3390	23096
128	3412	23040
129	3435	22988
130	3463	22972
131	3492	22966
132	3521	22953
133	3552	22956
134	3582	22952
135	3611	22943
136	3644	22956
137	3674	22955
138	3703	22942
139	3731	22923
140	3761	22917
141	3793	22921
142	3821	22903
143	3852	22902
144	3882	22893
145	3904	22840
146	3926	22785
147	3954	22766
148	3977	22719
149	4003	22689
150	4024	22629
151	4047	22580
152	4069	22526
153	4091	22474
154	4116	22439
155	4143	22419
156	4171	22400
157	4195	22359
158	4217	22307
159	4241	22265
160	4269	22248
161	4294	22214
162	4315	22161
163	4343	22139
164	4368	22108
165	4391	22064
166	4417	22036
167	4442	22002
168	4472	21992
169	4503	21985
170	4533	21978
171	4562	21963
172	4588	21934
173	4613	21901
174	4640	21878
175	4670	21867
176	4697	21841
177	4724	21818
178	4749	21784
179	4776	21760
180	4806	21750
181	4829	21707
182	4852	21665
183	4877	21630
184	4904	21607
185	4927	21565
186	4950	21522
187	4973	21481
188	4997	21443
189	5021	21405
190	5044	21364
191	5066	21322
192	5088	21276
193	5120	21274
194	5146	21245
195	5172	21219
196	5196	21182
197	5222	21151
198	5245	21114
199	5271	21084
200	5293	21044
201	5322	21025
202	5351	21012
203	5379	20991
204	5405	20962
205	5429	20928
206	5458	20911
207	5484	20882
208	5517	20881
209	5548	20872
210	5573	20841
211	5598	20809
212	5626	20790
213	5650	20755
214	5673	20715
215	5696	20675
216	5721	20645
217	5746	20611
218	5768	20569
219	5789	20527
220	5816	20501
221	5837	20458
222	5860	20419
223	5884	20386
224	5907	20347
225	5929	20307
